name,category,sku,variantName,costPrice,sellingPrice,stockQuantity
Nusantara Beras 0001,Makanan,SKU-000001,5 kg,29484,34100,70
Nusantara Beras 0001,Makanan,SKU-000002,10 kg,64496,78500,188
Prima Minyak Goreng 0002,Minuman,SKU-000003,1 L,27168,36800,139
Prima Minyak Goreng 0002,Minuman,SKU-000004,2 L,23090,30600,8
Prima Minyak Goreng 0002,Minuman,SKU-000005,5 L,8111,9600,59
Sejahtera Gula 0003,Snack,SKU-000006,500 g,132775,176700,143
Maju Tepung 0004,Sembako,SKU-000007,500 g,52424,71500,179
Maju Tepung 0004,Sembako,SKU-000008,1 kg,143153,182600,114
Jaya Kopi 0005,Perawatan Diri,SKU-000009,100 g,73226,102000,1
Jaya Kopi 0005,Perawatan Diri,SKU-000010,200 g,42153,57300,87
Jaya Kopi 0005,Perawatan Diri,SKU-000011,500 g,73142,87500,195
Sentosa Teh 0006,Kebersihan,SKU-000012,25 sachet,88536,104500,97
Makmur Susu 0007,Elektronik,SKU-000013,200 ml,25653,32300,88
Makmur Susu 0007,Elektronik,SKU-000014,1 L,69642,97000,186
Fresh Air Mineral 0008,ATK,SKU-000015,330 ml,120735,158300,96
Fresh Air Mineral 0008,ATK,SKU-000016,600 ml,20956,27600,160
Fresh Air Mineral 0008,ATK,SKU-000017,1.5 L,95100,125800,180
Daily Mie Instan 0009,Rumah Tangga,SKU-000018,Original,18533,21600,58
Choice Biskuit 0010,Kesehatan,SKU-000019,50 g,76161,110100,59
Choice Biskuit 0010,Kesehatan,SKU-000020,100 g,26776,33800,116
Max Keripik 0011,Makanan,SKU-000021,50 g,95938,115000,90
Max Keripik 0011,Makanan,SKU-000022,100 g,55221,74600,179
Max Keripik 0011,Makanan,SKU-000023,250 g,19017,25300,43
Plus Saus 0012,Minuman,SKU-000024,135 ml,140321,192100,41
Nusantara Kecap 0013,Snack,SKU-000025,135 ml,121478,153500,163
Nusantara Kecap 0013,Snack,SKU-000026,275 ml,146301,177900,83
Prima Sabun Mandi 0014,Sembako,SKU-000027,70 g,14963,18200,8
Prima Sabun Mandi 0014,Sembako,SKU-000028,100 g,82994,105400,16
Prima Sabun Mandi 0014,Sembako,SKU-000029,250 g,55607,79200,145
Sejahtera Shampoo 0015,Perawatan Diri,SKU-000030,170 ml,82790,100500,127
Maju Pasta Gigi 0016,Kebersihan,SKU-000031,75 g,104012,147200,164
Maju Pasta Gigi 0016,Kebersihan,SKU-000032,120 g,120585,143800,35
Jaya Detergen 0017,Elektronik,SKU-000033,500 g,64951,89200,137
Jaya Detergen 0017,Elektronik,SKU-000034,1 kg,69176,95100,109
Jaya Detergen 0017,Elektronik,SKU-000035,2.5 kg,105000,132200,35
Sentosa Tisu 0018,ATK,SKU-000036,10 sheets,133869,173800,193
Makmur Pewangi 0019,Rumah Tangga,SKU-000037,250 ml,12651,17800,39
Makmur Pewangi 0019,Rumah Tangga,SKU-000038,450 ml,42238,58600,108
Fresh Pulpen 0020,Kesehatan,SKU-000039,0.5 mm,16953,21500,152
Fresh Pulpen 0020,Kesehatan,SKU-000040,0.7 mm,122996,161000,141
Fresh Pulpen 0020,Kesehatan,SKU-000041,1.0 mm,3309,4500,29
Daily Buku Tulis 0021,Makanan,SKU-000042,38 sheets,141063,194000,196
Choice Lampu LED 0022,Minuman,SKU-000043,5 W,89474,105900,111
Choice Lampu LED 0022,Minuman,SKU-000044,9 W,41760,53700,184
Max Baterai 0023,Snack,SKU-000045,AA,69345,100000,195
Max Baterai 0023,Snack,SKU-000046,AAA,47132,61400,27
Max Baterai 0023,Snack,SKU-000047,9V,78535,110100,129
Plus Kabel USB 0024,Sembako,SKU-000048,1 m,52443,62700,195
Nusantara Sapu 0025,Perawatan Diri,SKU-000049,Standard,42649,55900,199
Nusantara Sapu 0025,Perawatan Diri,SKU-000050,Premium,139329,198600,153
Prima Pel 0026,Kebersihan,SKU-000051,Standard,85275,110600,28
Prima Pel 0026,Kebersihan,SKU-000052,Microfiber,95453,134900,78
Prima Pel 0026,Kebersihan,SKU-000053,Spray,63070,73600,145
Sejahtera Spons 0027,Elektronik,SKU-000054,Small,20945,24600,124
Maju Vitamin 0028,ATK,SKU-000055,30 tablets,18443,26600,136
Maju Vitamin 0028,ATK,SKU-000056,60 tablets,33267,39500,121
Jaya Masker 0029,Rumah Tangga,SKU-000057,10 pcs,144427,173200,135
Jaya Masker 0029,Rumah Tangga,SKU-000058,25 pcs,111223,160100,138
Jaya Masker 0029,Rumah Tangga,SKU-000059,50 pcs,53030,72300,102
Sentosa Hand Sanitizer 0030,Kesehatan,SKU-000060,60 ml,98189,125800,132
Makmur Beras 0031,Makanan,SKU-000061,5 kg,118654,140800,57
Makmur Beras 0031,Makanan,SKU-000062,10 kg,17084,21400,150
Fresh Minyak Goreng 0032,Minuman,SKU-000063,1 L,145507,177400,56
Fresh Minyak Goreng 0032,Minuman,SKU-000064,2 L,2185,2600,161
Fresh Minyak Goreng 0032,Minuman,SKU-000065,5 L,15733,19200,8
Daily Gula 0033,Snack,SKU-000066,500 g,86919,101800,60
Choice Tepung 0034,Sembako,SKU-000067,500 g,73301,99000,54
Choice Tepung 0034,Sembako,SKU-000068,1 kg,141656,168500,146
Max Kopi 0035,Perawatan Diri,SKU-000069,100 g,124207,151900,121
Max Kopi 0035,Perawatan Diri,SKU-000070,200 g,107008,129200,24
Max Kopi 0035,Perawatan Diri,SKU-000071,500 g,113297,142300,105
Plus Teh 0036,Kebersihan,SKU-000072,25 sachet,122727,172900,13
Nusantara Susu 0037,Elektronik,SKU-000073,200 ml,26099,30500,186
Nusantara Susu 0037,Elektronik,SKU-000074,1 L,89246,124100,27
Prima Air Mineral 0038,ATK,SKU-000075,330 ml,65483,79100,137
